#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
145,Allen Hurns,WR,FA,11.5,11.4,8,12.7,-,12.4,8.5,22.8,0,3.3,1.9,8.2,-,-,-,-,-,9.2,100.7
146,Green Bay Packers,DST,GB,5,7,5,BYE,7,5,12,1,5,-3,-2,10,8,19,9,8,4,6.3,100
147,Phillip Dorsett II,WR,DEN,13.4,4,5.7,13.7,4.6,3.2,-,8.3,4.8,-,6,6.1,0.7,4.9,12,1.8,9.6,6.6,98.8
148,Tyler Eifert,TE,FA,-,-,-,-,-,-,1.9,25.2,-,12.6,6.7,17.8,10.5,21.8,1.9,-,-,12.3,98.4
149,Rob Gronkowski,TE,FA,-,-,0,2.1,15.9,29.2,19.3,21.9,-,8.6,-,0,-,-,-,-,-,12.1,97
149,Mike Nugent,K,FA,12,10,5,19,2,5,7,3,-,8,0,6,14,6,-,-,-,7.5,97
149,Chris Conley,WR,SF,8.3,3.5,7.4,13,-,5.6,4.9,8.9,5.8,2.2,6.8,5.6,0,9,3.1,3.4,9.5,6.1,97
152,Las Vegas Raiders,DST,LV,2,-1,11,4,9,1,8,2,7,-,7,12,8,7,9,6,2,5.9,94
153,Damien Williams,RB,FA,4.8,-,11.5,2.5,9,9.7,7.6,-,6.9,15,0,3.8,2.9,8.8,0,7.1,3.8,6.2,93.4
154,Corey Coleman,WR,FA,8.9,27.4,-,-,-,-,-,-,7.1,4.7,7.9,12.8,-,5.7,5.4,3.5,9.9,9.3,93.3
155,Tennessee Titans,DST,TEN,4,7,4,5,11,6,1,4,0,11,4,4,BYE,11,4,3,13,5.8,92
155,Cincinnati Bengals,DST,CIN,4,5,4,13,2,-1,7,3,BYE,5,5,7,8,9,1,9,11,5.8,92
157,Los Angeles Rams,DST,LAR,1,11,12,17,3,0,6,BYE,9,10,7,0,0,1,4,8,2,5.7,91
157,Dallas Cowboys,DST,DAL,5,4,6,4,5,10,BYE,5,8,0,2,0,6,13,13,8,2,5.7,91
159,Jesse James,TE,FA,8.1,11.9,3,9.5,16.3,3.3,3.8,-,3.3,9.9,1.5,0,6.2,1.5,0,8.9,3.6,5.7,90.8
160,Marquise Goodwin,WR,CLE,0,19.2,1.6,2.2,9.3,4.2,19.3,-,8.3,-,3.5,3.3,7.5,0,7.3,2.6,1.8,6,90.1
161,Houston Texans,DST,HOU,8,14,1,4,1,5,0,5,BYE,12,2,3,3,8,7,9,7,5.6,89
161,Cody Parkey,K,FA,-,-,12,11,1,9,5,9,4,1,3,7,-,4,8,9,6,6.4,89
163,Nelson Agholor,WR,BAL,15.7,8.2,5.1,-,5.2,6.4,3,5.5,8.1,2.7,2,-,6.7,4.2,2,13.2,-0.1,5.9,87.9
164,Vance McDonald,TE,FA,9.4,14.5,2.4,-,-,4.5,3.4,-,17.4,9,13.6,10,2.9,0,-,-,-,7.9,87.1
165,Greg Zuerlein,K,NYJ,0,10,9,5,15,4,4,-,4,9,5,3,5,2,3,3,6,5.4,87
166,Devin Funchess,WR,FA,1.9,9.9,0,7.6,0,12.8,-,6.8,3.8,14.6,5.2,3.9,6.4,11.3,0,1.9,-,5.7,86.1
